vOTU_ID	Donor01	Donor09	Donor02	Donor03	Donor13	Donor24	Donor27	Donor34	DonorNo_Ref_11	Donor17	Donor16	Donor06	Donor18	Donor20	Donor23	Donor25	Donor12	Donor22	Donor28	Donor08	Donor14	n_shared_donor
vOTU_0001	0.0277 +/-0.0294	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0002	0.0198 +/-0.0199	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0003	0.1956 +/-0.253	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0004	0.342 +/-0.5296	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0005	5.7261 +/-8.0841	0.1224 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0006	0.3811 +/-0.686	0.0286 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0007	1.0056 +/-1.2238	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0008	0.4744 +/-0.6397	0.0333 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0009	0.0776 +/-0.0733	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0010	0.0175 +/-0.0202	nD	0.0177 +/-0	0.0075 +/-0	0.0039 +/-0	0.0014 +/-0	0.0077 +/-0.0043	0.0098 +/-0.0088	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	7
vOTU_0011	0.0217 +/-0.0108	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0012	0.0762 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0013	0.0284 +/-0.0148	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0014	0.0234 +/-0.025	nD	nD	nD	nD	nD	0.005 +/-0.0023	0.01 +/-0	0.0033 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0015	0.0594 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0016	0.0164 +/-0.0052	0.0088 +/-0.0026	nD	nD	nD	nD	nD	0.0197 +/-0.0042	nD	0.0075 +/-0.0041	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0017	0.0551 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0018	0.0079 +/-0.0076	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0019	0.016 +/-0.0248	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0020	0.0228 +/-0.029	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0021	0.0203 +/-0.016	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0022	0.0369 +/-0.0356	nD	nD	0.0102 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
