sample_type,read_count,mill_reads_per_sample,fractioni in %,donor,day,
viral,6893136,11.8,58.5,1,-14,
non_viral,2884163,11.8,24.5,1,-14,
proviral,29994,11.8,0.3,1,-14,
UHGV,234811,11.8,2,1,-14,
UHGG,1203227,11.8,10.2,1,-14,
unmapped,538876,11.8,4.6,1,-14,
viral,3787631,7.5,50.8,1,-1,
non_viral,2171856,7.5,29.1,1,-1,
proviral,43644,7.5,0.6,1,-1,
UHGV,141936,7.5,1.9,1,-1,
UHGG,972082,7.5,13,1,-1,
unmapped,338377,7.5,4.5,1,-1,
viral,9525447,9.7,97.8,1,4,
non_viral,116521,9.7,1.2,1,4,
proviral,3206,9.7,0,1,4,
UHGV,7931,9.7,0.1,1,4,
UHGG,59802,9.7,0.6,1,4,
unmapped,29493,9.7,0.3,1,4,
viral,6756179,8,84.5,1,10,
non_viral,436049,8,5.5,1,10,
proviral,10527,8,0.1,1,10,
UHGV,157651,8,2,1,10,
UHGG,408558,8,5.1,1,10,
unmapped,225201,8,2.8,1,10,
viral,7372869,11,66.8,1,15,
non_viral,1624907,11,14.7,1,15,
proviral,52283,11,0.5,1,15,
UHGV,360288,11,3.3,1,15,
UHGG,1040846,11,9.4,1,15,
unmapped,589805,11,5.3,1,15,
viral,1316345,10.9,12.1,1,180,
non_viral,5108671,10.9,47,1,180,
proviral,48328,10.9,0.4,1,180,
UHGV,285225,10.9,2.6,1,180,
UHGG,3148079,10.9,28.9,1,180,
unmapped,969535,10.9,8.9,1,180,
viral,1317345,10.1,13.1,2,-1,
non_viral,4247233,10.1,42.1,2,-1,
proviral,71284,10.1,0.7,2,-1,
UHGV,296159,10.1,2.9,2,-1,
UHGG,3104663,10.1,30.8,2,-1,
unmapped,1049426,10.1,10.4,2,-1,
viral,1387743,3.8,36.5,2,4,
non_viral,1126885,3.8,29.6,2,4,
proviral,11667,3.8,0.3,2,4,
UHGV,348199,3.8,9.2,2,4,
UHGG,571847,3.8,15,2,4,
unmapped,358416,3.8,9.4,2,4,
viral,4061196,7.3,55.3,2,10,
non_viral,1288740,7.3,17.5,2,10,
proviral,12424,7.3,0.2,2,10,
UHGV,749517,7.3,10.2,2,10,
UHGG,563612,7.3,7.7,2,10,
unmapped,674502,7.3,9.2,2,10,
viral,2943584,5.2,57.1,2,15,
non_viral,896797,5.2,17.4,2,15,
proviral,9475,5.2,0.2,2,15,
UHGV,432059,5.2,8.4,2,15,
UHGG,420746,5.2,8.2,2,15,
unmapped,452980,5.2,8.8,2,15,
viral,2214626,7.8,28.5,2,180,
non_viral,2877107,7.8,37,2,180,
proviral,24039,7.8,0.3,2,180,
UHGV,562345,7.8,7.2,2,180,
UHGG,1249346,7.8,16.1,2,180,
unmapped,856188,7.8,11,2,180,
viral,10624914,13.1,80.9,3,-14,
non_viral,608356,13.1,4.6,3,-14,
proviral,42245,13.1,0.3,3,-14,
UHGV,839482,13.1,6.4,3,-14,
UHGG,532543,13.1,4.1,3,-14,
unmapped,482016,13.1,3.7,3,-14,
viral,4650380,6.4,73.2,3,-1,
non_viral,681795,6.4,10.7,3,-1,
proviral,19294,6.4,0.3,3,-1,
UHGV,382485,6.4,6,3,-1,
UHGG,354982,6.4,5.6,3,-1,
unmapped,261433,6.4,4.1,3,-1,
viral,7441471,8.6,86.3,3,4,
non_viral,49082,8.6,0.6,3,4,
proviral,1227,8.6,0,3,4,
UHGV,603116,8.6,7,3,4,
UHGG,135776,8.6,1.6,3,4,
unmapped,395819,8.6,4.6,3,4,
viral,3050766,4.1,75,3,10,
non_viral,368374,4.1,9.1,3,10,
proviral,3636,4.1,0.1,3,10,
UHGV,260708,4.1,6.4,3,10,
UHGG,186260,4.1,4.6,3,10,
unmapped,198786,4.1,4.9,3,10,
viral,6773277,8.2,82.5,3,30,
non_viral,333407,8.2,4.1,3,30,
proviral,19189,8.2,0.2,3,30,
UHGV,542576,8.2,6.6,3,30,
UHGG,261530,8.2,3.2,3,30,
unmapped,279579,8.2,3.4,3,30,
viral,2278503,7.4,31,3,180,
non_viral,2428849,7.4,33,3,180,
proviral,20217,7.4,0.3,3,180,
UHGV,464704,7.4,6.3,3,180,
UHGG,1537416,7.4,20.9,3,180,
unmapped,622518,7.4,8.5,3,180,
viral,6164953,11.6,53.1,6,-7,
non_viral,1476395,11.6,12.7,6,-7,
proviral,11070,11.6,0.1,6,-7,
UHGV,358666,11.6,3.1,6,-7,
UHGG,2567328,11.6,22.1,6,-7,
unmapped,1030108,11.6,8.9,6,-7,
viral,4381862,7.7,57.1,6,-1,
non_viral,694422,7.7,9,6,-1,
proviral,14693,7.7,0.2,6,-1,
UHGV,394378,7.7,5.1,6,-1,
UHGG,1334258,7.7,17.4,6,-1,
unmapped,856994,7.7,11.2,6,-1,
viral,6784172,11.7,58.2,6,4,
non_viral,1390022,11.7,11.9,6,4,
proviral,18370,11.7,0.2,6,4,
UHGV,388486,11.7,3.3,6,4,
UHGG,1797774,11.7,15.4,6,4,
unmapped,1277860,11.7,11,6,4,
viral,3668371,4.9,75.2,6,10,
non_viral,284385,4.9,5.8,6,10,
proviral,3401,4.9,0.1,6,10,
UHGV,171651,4.9,3.5,6,10,
UHGG,401490,4.9,8.2,6,10,
unmapped,346464,4.9,7.1,6,10,
viral,3470431,8.3,41.6,6,30,
non_viral,1734296,8.3,20.8,6,30,
proviral,27722,8.3,0.3,6,30,
UHGV,286177,8.3,3.4,6,30,
UHGG,1673191,8.3,20.1,6,30,
unmapped,1143329,8.3,13.7,6,30,
viral,3385764,7.6,44.7,6,180,
non_viral,1457937,7.6,19.3,6,180,
proviral,20264,7.6,0.3,6,180,
UHGV,303960,7.6,4,6,180,
UHGG,1524577,7.6,20.1,6,180,
unmapped,875428,7.6,11.6,6,180,
viral,1679284,7.7,21.8,8,-14,
non_viral,2871704,7.7,37.2,8,-14,
proviral,53002,7.7,0.7,8,-14,
UHGV,229014,7.7,3,8,-14,
UHGG,1997892,7.7,25.9,8,-14,
unmapped,884234,7.7,11.5,8,-14,
viral,5784598,9,64,8,-1,
non_viral,983580,9,10.9,8,-1,
proviral,25077,9,0.3,8,-1,
UHGV,334389,9,3.7,8,-1,
UHGG,1152185,9,12.8,8,-1,
unmapped,755186,9,8.4,8,-1,
viral,2719483,9.2,29.4,8,4,
non_viral,1849653,9.2,20,8,4,
proviral,25790,9.2,0.3,8,4,
UHGV,460728,9.2,5,8,4,
UHGG,2956107,9.2,32,8,4,
unmapped,1223557,9.2,13.2,8,4,
viral,4463905,7.7,58,8,10,
non_viral,1101508,7.7,14.3,8,10,
proviral,12145,7.7,0.2,8,10,
UHGV,440896,7.7,5.7,8,10,
UHGG,1028568,7.7,13.4,8,10,
unmapped,654663,7.7,8.5,8,10,
viral,2933446,6.5,45.1,8,90,
non_viral,1437602,6.5,22.1,8,90,
proviral,47752,6.5,0.7,8,90,
UHGV,239131,6.5,3.7,8,90,
UHGG,1097923,6.5,16.9,8,90,
unmapped,755218,6.5,11.6,8,90,
viral,6005402,11.3,52.9,8,180,
non_viral,1578724,11.3,13.9,8,180,
proviral,38572,11.3,0.3,8,180,
UHGV,342784,11.3,3,8,180,
UHGG,1736018,11.3,15.3,8,180,
unmapped,1642431,11.3,14.5,8,180,
viral,7597802,8.8,86.7,9,-14,
non_viral,511884,8.8,5.8,9,-14,
proviral,17536,8.8,0.2,9,-14,
UHGV,126784,8.8,1.4,9,-14,
UHGG,259122,8.8,3,9,-14,
unmapped,246661,8.8,2.8,9,-14,
viral,1047177,1.7,62.4,9,-1,
non_viral,366587,1.7,21.9,9,-1,
proviral,12264,1.7,0.7,9,-1,
UHGV,27730,1.7,1.7,9,-1,
UHGG,153677,1.7,9.2,9,-1,
unmapped,69590,1.7,4.1,9,-1,
viral,9574968,9.9,97,9,4,
non_viral,131359,9.9,1.3,9,4,
proviral,5186,9.9,0.1,9,4,
UHGV,48163,9.9,0.5,9,4,
UHGG,61815,9.9,0.6,9,4,
unmapped,52557,9.9,0.5,9,4,
viral,5857605,6.8,86.1,9,10,
non_viral,514707,6.8,7.6,9,10,
proviral,5651,6.8,0.1,9,10,
UHGV,30583,6.8,0.4,9,10,
UHGG,276488,6.8,4.1,9,10,
unmapped,117333,6.8,1.7,9,10,
viral,5071407,7.7,65.5,9,30,
non_viral,1012211,7.7,13.1,9,30,
proviral,24318,7.7,0.3,9,30,
UHGV,595018,7.7,7.7,9,30,
UHGG,544899,7.7,7,9,30,
unmapped,498773,7.7,6.4,9,30,
viral,3272596,5.2,62.9,9,180,
non_viral,815729,5.2,15.7,9,180,
proviral,12511,5.2,0.2,9,180,
UHGV,229741,5.2,4.4,9,180,
UHGG,469494,5.2,9,9,180,
unmapped,405598,5.2,7.8,9,180,
viral,1290195,8.6,15,11,-14,
non_viral,3409794,8.6,39.5,11,-14,
proviral,41580,8.6,0.5,11,-14,
UHGV,446143,8.6,5.2,11,-14,
UHGG,2614998,8.6,30.3,11,-14,
unmapped,822013,8.6,9.5,11,-14,
viral,889763,3.1,29,11,-7,
non_viral,787266,3.1,25.6,11,-7,
proviral,24381,3.1,0.8,11,-7,
UHGV,877662,3.1,28.6,11,-7,
UHGG,291725,3.1,9.5,11,-7,
unmapped,200426,3.1,6.5,11,-7,
viral,1228906,3.5,34.7,11,4,
non_viral,1246693,3.5,35.2,11,4,
proviral,13518,3.5,0.4,11,4,
UHGV,190990,3.5,5.4,11,4,
UHGG,504354,3.5,14.2,11,4,
unmapped,356428,3.5,10.1,11,4,
viral,2432184,6,40.3,11,10,
non_viral,1769443,6,29.3,11,10,
proviral,33270,6,0.6,11,10,
UHGV,297039,6,4.9,11,10,
UHGG,1041865,6,17.3,11,10,
unmapped,460462,6,7.6,11,10,
viral,5737859,8.7,66.2,11,30,
non_viral,1023094,8.7,11.8,11,30,
proviral,23685,8.7,0.3,11,30,
UHGV,382370,8.7,4.4,11,30,
UHGG,1030171,8.7,11.9,11,30,
unmapped,474558,8.7,5.5,11,30,
viral,4826005,11.1,43.7,11,90,
non_viral,2290028,11.1,20.7,11,90,
proviral,59290,11.1,0.5,11,90,
UHGV,1095631,11.1,9.9,11,90,
UHGG,1819325,11.1,16.5,11,90,
unmapped,964669,11.1,8.7,11,90,
viral,4813076,9.6,50.2,12,-14,
non_viral,1172022,9.6,12.2,12,-14,
proviral,27359,9.6,0.3,12,-14,
