vOTU_ID	size	Novel_species	VC	VClustering	Novel_genus	dominant	source	checkv_quality	viral_lifecycle	Related_to_PP	With_ARG	viral_taxonomy_lineage	host_taxonomy_lineage	geNomad	checkV (at least medium)	VIBRANT	Viral_verify	lineage_vcontact
vOTU_0001	176226	Yes	161	161	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum	1	1	0	1	NA
vOTU_0002	52380	No	41	41	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	1	1	1	1	NA
vOTU_0003	52287	No	312;370	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	1	1	NA
vOTU_0004	52144	No	312;370	OUT/SINGLE/OVER	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	1	1	1	1	NA
vOTU_0005	51420	No	311	311	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0006	49758	Yes	258	258	No	No	SpadesMetaV	Complete	temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A	1	1	1	1	NA
vOTU_0007	49010	No	311	311	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter lactaris	1	1	1	1	r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes
vOTU_0008	45318	No	64	64	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	ND	1	1	0	0	NA
vOTU_0009	5879	Yes	762	762	No	No	SpadesMetaV	Complete	non-temperate	No	No	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae	ND	1	1	0	0	r__Monodnaviria; k__Sangervirae; p__Phixviricota; c__Malgrandaviricetes; o__Petitvirales; f__Microviridae
vOTU_0010	47549	Yes	OUT/SINGLE	OUT/SINGLE/OVER	Yes	No	SpadesMetaV	Not-determined	ND	No	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	1	0	0	0	NA
