Genome_vCon	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score
NZ_CP010398	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP015484	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP010780	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP035046	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP018257	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP016296	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP016299	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP016301	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP020585	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP018333	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP024125	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP026128	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP026705	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP027608	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP027122	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP029570	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP021327	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP023025	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP039342	828_0	Clustered	3	VC_828_0	3	0.9697	0.97657291	0.947
NZ_CP039519	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP039344	828_0	Clustered	3	VC_828_0	3	0.9697	0.97657291	0.947
NZ_CP039932	828_0	Clustered	3	VC_828_0	3	0.9697	0.97657291	0.947
NZ_CP034093	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP031445	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP038645	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP040426	257_0	Clustered	7	VC_257_0	7	0.2249	1	0.2249
NZ_CP041590	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP046537	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP050905	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP050908	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP050417	608_0	Clustered	2	VC_608_0	2	0.3806	0.90478487	0.3444
NZ_CP059387	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_AP022239	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP047974	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP061518	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP061515	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP061524	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP061522	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP061520	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP062920	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NC_020524	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NC_023031	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP044020	907_0	Clustered	2	VC_907_0	2	1	1	1
NZ_CP021514	607_0	Clustered	2	VC_607_0	2	0.3552	0.92263554	0.3277
NZ_CP061617	608_0	Clustered	2	VC_608_0	2	0.3806	0.90478487	0.3444
NZ_CP033864	248_0	Clustered	32	VC_248_0	32	0.8317	1	0.8317
NZ_CP048673	907_0	Clustered	2	VC_907_0	2	1	1	1
NZ_CP066814	200_0	Clustered	4	VC_200_0	4	0.3362	0.9999843	0.3362
NZ_CP068233	200_0	Clustered	4	VC_200_0	4	0.3362	0.9999843	0.3362
NZ_AP024403	200_0	Clustered	4	VC_200_0	4	0.3362	0.9999843	0.3362
NZ_AP023399	200_0	Clustered	4	VC_200_0	4	0.3362	0.9999843	0.3362
NZ_AP022265	207_0	Clustered	4	VC_207_0	4	0.413	0.99998302	0.413
NZ_CP059397	321_0	Clustered	2	VC_321_0	2	0.0423	0.88524786	0.0375
NZ_AP021899	459_0	Clustered	3	VC_459_0	3	0.5004	0.99769256	0.4992
NZ_CP045481	908_0	Clustered	2	VC_908_0	2	1	1	1
NZ_CP038614	356_1	Clustered/Singleton	1	VC_356_1	1	0	1	0
NZ_CP038617	356_0	Clustered	5	VC_356_0	5	0.6371	0.99999907	0.6371
NZ_CP038616	356_0	Clustered	5	VC_356_0	5	0.6371	0.99999907	0.6371
NZ_CP038615	356_0	Clustered	5	VC_356_0	5	0.6371	0.99999907	0.6371
NZ_CP038618	356_0	Clustered	5	VC_356_0	5	0.6371	0.99999907	0.6371
NZ_CP038623	356_0	Clustered	5	VC_356_0	5	0.6371	0.99999907	0.6371
NZ_CP038625	175_1	Clustered	29	VC_175_1	29	0.5623	1	0.5623
NZ_CP038626	473_0	Clustered	6	VC_473_0	6	0.4409	0.99999999	0.4409
NZ_CP038627	786_0	Clustered	4	VC_786_0	4	0.8311	0.77337265	0.6427
NZ_CP039641	348_0	Clustered	2	VC_348_0	2	0.7535	0.72985431	0.54990000000000006
NZ_CP029360	348_0	Clustered	2	VC_348_0	2	0.7535	0.72985431	0.54990000000000006
NZ_CP040346	192_1	Clustered	5	VC_192_1	5	0.2001	0.99999987	0.2001
NZ_CP030098	609_0	Clustered	2	VC_609_0	2	0.3281	0.9408528	0.3087
NZ_CP009594	192_1	Clustered	5	VC_192_1	5	0.2001	0.99999987	0.2001
NZ_CP009603	192_1	Clustered	5	VC_192_1	5	0.2001	0.99999987	0.2001
NZ_CP014487	208_0	Clustered	4	VC_208_0	4	0.1383	0.99998421	0.1383
NZ_CP053966	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP053964	208_0	Clustered	4	VC_208_0	4	0.1383	0.99998421	0.1383
NZ_CP053990	192_1	Clustered	5	VC_192_1	5	0.2001	0.99999987	0.2001
NZ_CP053996	192_1	Clustered	5	VC_192_1	5	0.2001	0.99999987	0.2001
NC_004721	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP034552	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NC_016794	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NC_011971	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP009638	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP009637	208_0	Clustered	4	VC_208_0	4	0.1383	0.99998421	0.1383
NZ_CP014843	610_0	Clustered	3	VC_610_0	3	0.6584	0.99703891	0.6565
NZ_CP021670	610_0	Clustered	3	VC_610_0	3	0.6584	0.99703891	0.6565
NZ_CP021679	633_0	Clustered	2	VC_633_0	2	0.4805	0.72985431	0.3507
NZ_CP027791	225_0	Clustered	6	VC_225_0	6	0.3873	0.9999999	0.3873
NZ_CP035189	610_0	Clustered	3	VC_610_0	3	0.6584	0.99703891	0.6565
NZ_CP065645	225_0	Clustered	6	VC_225_0	6	0.3873	0.9999999	0.3873
NZ_CP020749	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP031074	176_0	Clustered	5	VC_176_0	5	0.3057	0.99999994	0.3057
NC_010182	829_0	Clustered	2	VC_829_0	2	0.7523	0.81445332	0.6127
NZ_CP010015	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP030938	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP034684	192_3	Clustered/Singleton	1	VC_192_3	1	0	1	0
NZ_CP041758	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP070484	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP020103	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP035392	633_0	Clustered	2	VC_633_0	2	0.4805	0.72985431	0.3507
NZ_CP035398	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP035412	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP045822	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP045813	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP045923	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP028216	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_AP019715	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP034485	474_0	Clustered	13	VC_474_0	13	0.9659	1	0.9659
NZ_CP009332	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP009599	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP009718	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP011352	230_0	Clustered	6	VC_230_0	6	0.4203	1	0.4203
NZ_CP012104	208_0	Clustered	4	VC_208_0	4	0.1383	0.99998421	0.1383
NZ_CP013060	230_0	Clustered	6	VC_230_0	6	0.4203	1	0.4203
NZ_CP013273	2_0	Clustered	127	VC_2_0	127	0.6701	1	0.6701
NZ_CP014285	192_0	Clustered	2	VC_192_0	2	0.0871	0.95544863	0.0832
NZ_CP014286	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP014287	176_0	Clustered	5	VC_176_0	5	0.3057	0.99999994	0.3057
NZ_CP014852	201_1	Clustered/Singleton	1	VC_201_1	1	0	1	0
NZ_CP015358	176_0	Clustered	5	VC_176_0	5	0.3057	0.99999994	0.3057
NZ_CP020003	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP020004	151_0	Clustered	3	VC_151_0	3	0.3203	0.99839409	0.3198
NZ_CP021064	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP032612	192_0	Clustered	2	VC_192_0	2	0.0871	0.95544863	0.0832
NZ_CP032610	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NZ_CP032613	176_0	Clustered	5	VC_176_0	5	0.3057	0.99999994	0.3057
NZ_CP039724	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP040784	829_0	Clustered	2	VC_829_0	2	0.7523	0.81445332	0.6127
NZ_CP045025	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP045027	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP053971	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP053974	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP053977	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP053982	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP053936	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP053933	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP050186	517_0	Clustered	4	VC_517_0	4	0.4307	0.99944084	0.4305
NZ_CP054567	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NZ_CP013278	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP051859	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NZ_CP010095	230_0	Clustered	6	VC_230_0	6	0.4203	1	0.4203
NZ_CP010096	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NZ_CP010108	151_0	Clustered	3	VC_151_0	3	0.3203	0.99839409	0.3198
NC_008598	192_2	Clustered	12	VC_192_2	12	0.4071	1	0.4071
NC_022874	176_0	Clustered	5	VC_176_0	5	0.3057	0.99999994	0.3057
NC_017204	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NC_018694	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
NC_018509	570_0	Clustered	7	VC_570_0	7	0.9095	1	0.9095
NC_018517	663_0	Clustered	8	VC_663_0	8	0.8905	0.99999998	0.8905
NC_018487	201_0	Clustered	9	VC_201_0	9	0.5463	1	0.5463
